Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Bc_Nll                   Bc_Mse                   Entropy                  Dataset_Size             
0                        0.00033514599005381266   200                      342.66920516030916       501.0                    20                       0.0                      0.0                      0                        127.9960708618164        127.9960708618164        5.175082683563232        -0.38099873065948486     200                      
5                        0.0008248595396677653    1200                     330.0483727109596        501.0                    20                       325.9256896972656        501.0                    1                        1.7994067668914795       1.7994067668914795       0.1272161453962326       -0.38099947571754456     1200                     
10                       0.0013713776403003269    2200                     336.31228400500464       501.0                    20                       322.27056884765625       501.0                    1                        -1.1950428485870361      -1.1950428485870361      0.0074382382445037365    -0.38099849224090576     2200                     
15                       0.00250399112701416      3200                     331.08170338557727       501.0                    20                       315.0087585449219        501.0                    1                        -1.3269798755645752      -1.3269798755645752      0.002160768024623394     -0.3809979557991028      3200                     
20                       0.003427317606078254     4200                     348.5144872345845        501.0                    20                       261.8687744140625        501.0                    1                        -1.355046033859253       -1.355046033859253       0.0010381033644080162    -0.3809976875782013      4200                     
25                       0.004417972167332967     5200                     347.14196432302504       501.0                    20                       350.2506103515625        501.0                    1                        -1.368850588798523       -1.368850588798523       0.0004859006148763001    -0.3809974789619446      5200                     
30                       0.00573403345213996      6200                     336.31946113120813       501.0                    20                       293.8642883300781        501.0                    1                        -1.3731002807617188      -1.3731002807617188      0.0003159325569868088    -0.3809989392757416      6200                     
35                       0.007011344035466512     7200                     345.94608699624575       501.0                    20                       331.8853454589844        501.0                    1                        -1.3746553659439087      -1.3746553659439087      0.00025372387608513236   -0.38100072741508484     7200                     
40                       0.008705256713761223     8200                     335.5013830924499        501.0                    20                       355.8987731933594        501.0                    1                        -1.3764047622680664      -1.3764047622680664      0.00018375442596152425   -0.38100212812423706     8200                     
45                       0.010314228402243721     9200                     329.3122095612583        501.0                    20                       406.14227294921875       501.0                    1                        -1.3772532939910889      -1.3772532939910889      0.00014979412662796676   -0.38100290298461914     9200                     
50                       0.011972089807192485     10200                    331.6898244882408        501.0                    20                       318.95892333984375       501.0                    1                        -1.3775827884674072      -1.3775827884674072      0.00013662254787050188   -0.38100382685661316     10200                    
55                       0.014113208916452196     11200                    329.76367508887495       501.0                    20                       309.0322265625           501.0                    1                        -1.3777981996536255      -1.3777981996536255      0.0001280428550671786    -0.38100454211235046     11200                    
60                       0.0161777972512775       12200                    336.7740582433456        501.0                    20                       272.3542175292969        501.0                    1                        -1.3772926330566406      -1.3772926330566406      0.00014827269478701055   -0.38100314140319824     12200                    
65                       0.018297263118955825     13200                    338.9541465014716        501.0                    20                       415.852783203125         501.0                    1                        -1.3777743577957153      -1.3777743577957153      0.00012901041191071272   -0.3810015022754669      13200                    
70                       0.020471480555004543     14200                    333.69188751370064       501.0                    20                       331.260986328125         501.0                    1                        -1.378190040588379       -1.378190040588379       0.00011227196227991953   -0.3810000717639923      14200                    
75                       0.023038548032442728     15200                    334.39219229693583       501.0                    20                       348.0470275878906        501.0                    1                        -1.3784693479537964      -1.3784693479537964      0.00010121502418769524   -0.380998820066452       15200                    
80                       0.025460930135515        16200                    331.0770619741135        501.0                    20                       365.0922546386719        501.0                    1                        -1.3786468505859375      -1.3786468505859375      9.413662337465212e-05    -0.38099774718284607     16200                    
85                       0.02842454108926985      17200                    333.95014103851685       501.0                    20                       352.5675964355469        501.0                    1                        -1.3788090944290161      -1.3788090944290161      8.761198114370927e-05    -0.38099679350852966     17200                    
90                       0.031488808989524844     18200                    346.047135614372         501.0                    20                       338.1319274902344        501.0                    1                        -1.3789079189300537      -1.3789079189300537      8.358865306945518e-05    -0.38099589943885803     18200                    
95                       0.03430843187703027      19200                    334.92280795557633       501.0                    20                       321.9139099121094        501.0                    1                        -1.3789933919906616      -1.3789933919906616      8.020266977837309e-05    -0.38099533319473267     19200                    
100                      0.03757248514228397      20200                    359.66347323583835       501.0                    20                       313.60546875             501.0                    1                        -1.3790231943130493      -1.3790231943130493      7.899131742306054e-05    -0.38099464774131775     20200                    
105                      0.040941817230648464     21200                    337.18234317094993       501.0                    20                       331.6060791015625        501.0                    1                        -1.378942608833313       -1.378942608833313       8.224210614571348e-05    -0.3809939920902252      21200                    
110                      0.04431028637621138      22200                    337.80899094375275       501.0                    20                       297.59869384765625       501.0                    1                        -1.3789496421813965      -1.3789496421813965      8.197757415473461e-05    -0.38099342584609985     22200                    
115                      0.047604589992099336     23200                    331.50679976516307       501.0                    20                       365.7489318847656        501.0                    1                        -1.3790034055709839      -1.3790034055709839      7.984176045283675e-05    -0.3809928894042969      23200                    
120                      0.051363886064953276     24200                    339.484592363879         501.0                    20                       328.97808837890625       501.0                    1                        -1.3790322542190552      -1.3790322542190552      7.865130464779213e-05    -0.38099241256713867     24200                    
125                      0.055123024185498554     25200                    336.89249183052027       501.0                    20                       329.2115173339844        501.0                    1                        -1.3790950775146484      -1.3790950775146484      7.612193439854309e-05    -0.38099196553230286     25200                    
130                      0.058766766521665785     26200                    341.5775081260075        501.0                    20                       351.3392028808594        501.0                    1                        -1.3791089057922363      -1.3791089057922363      7.559621008113027e-05    -0.38099154829978943     26200                    
135                      0.06269232279724544      27200                    339.6454048776016        501.0                    20                       315.5869445800781        501.0                    1                        -1.3791229724884033      -1.3791229724884033      7.504456880269572e-05    -0.3809911608695984      27200                    
140                      0.06663400815592872      28200                    338.92975591093943       501.0                    20                       322.3581848144531        501.0                    1                        -1.3791970014572144      -1.3791970014572144      7.208118040580302e-05    -0.3809908330440521      28200                    
145                      0.07052602728207906      29200                    316.640310978879         501.0                    20                       332.90093994140625       501.0                    1                        -1.3792747259140015      -1.3792747259140015      6.895825208630413e-05    -0.38099047541618347     29200                    
150                      0.07482426345348359      30200                    336.14546446707715       501.0                    20                       320.0274353027344        501.0                    1                        -1.3793129920959473      -1.3793129920959473      6.743951962562278e-05    -0.38099026679992676     30200                    
155                      0.07956555909580655      31200                    339.42218974106106       501.0                    20                       346.2642517089844        501.0                    1                        -1.379335880279541       -1.379335880279541       6.649133138125762e-05    -0.38098999857902527     31200                    
160                      0.0844211091597875       32200                    323.77206493058605       501.0                    20                       323.6669921875           501.0                    1                        -1.3793773651123047      -1.3793773651123047      6.480990123236552e-05    -0.3809897303581238      32200                    
165                      0.08900839812225765      33200                    336.72273261905985       501.0                    20                       341.0429992675781        501.0                    1                        -1.3793929815292358      -1.3793929815292358      6.414036761270836e-05    -0.3809894323348999      33200                    
170                      0.09331575771172841      34200                    328.3480790273458        501.0                    20                       370.8337707519531        501.0                    1                        -1.3794269561767578      -1.3794269561767578      6.28028210485354e-05     -0.3809892237186432      34200                    
175                      0.09849188089370728      35200                    335.8944554703993        501.0                    20                       379.16827392578125       501.0                    1                        -1.3794246912002563      -1.3794246912002563      6.2866325606592e-05      -0.3809889853000641      35200                    
180                      0.10352331075403426      36200                    332.5508709099671        501.0                    20                       406.5479431152344        501.0                    1                        -1.3794610500335693      -1.3794610500335693      6.14841774222441e-05     -0.3809887766838074      36200                    
185                      0.10838351388772328      37200                    345.61857448129746       501.0                    20                       369.7495422363281        501.0                    1                        -1.379495620727539       -1.379495620727539       6.0025060520274565e-05   -0.38098856806755066     37200                    
190                      0.11356059140629239      38200                    356.14588667223495       501.0                    20                       302.1753845214844        501.0                    1                        -1.379495620727539       -1.379495620727539       6.0026461142115295e-05   -0.38098838925361633     38200                    
195                      0.11841985762119293      39200                    351.90030212405554       501.0                    20                       324.85833740234375       501.0                    1                        -1.379528522491455       -1.379528522491455       5.882026380277239e-05    -0.380988210439682       39200                    
200                      0.12395510349008772      40200                    339.40357793186774       501.0                    20                       278.98052978515625       501.0                    1                        -1.3794357776641846      -1.3794357776641846      6.243798998184502e-05    -0.3809880316257477      40200                    
205                      0.12988903039031557      41200                    326.7594433327293        501.0                    20                       331.41650390625          501.0                    1                        -1.3794811964035034      -1.3794811964035034      6.0725476942025125e-05   -0.38098791241645813     41200                    
210                      0.1356136875020133       42200                    351.93477063615524       501.0                    20                       335.94805908203125       501.0                    1                        -1.3795082569122314      -1.3795082569122314      5.963961302768439e-05    -0.3809877634048462      42200                    
